timestamp,eye_rub_first_hand_report,eye_rub_first_hand_count,eye_rub_first_hand_durations,|,eye_rub_second_hand_report,eye_rub_second_hand_count,eye_rub_second_hand_durations,|,flicker_report,flicker_count,|,micro_sleep_report,micro_sleep_count,micro_sleep_durations,|,pitch_report,pitch_count,pitch_durations,|,yawn_report,yawn_count,yawn_durations
2024-11-21 10:33:31,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro sleep: 17.0 seconds', '2 micro sleep: 7.0 seconds', '3 micro sleep: 14.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 1.0 seconds remaining.,[]
2024-11-21 10:33:31,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 10.0 seconds']
2024-11-21 10:33:33,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 10.0 seconds']
2024-11-21 10:33:34,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 10.0 seconds']
2024-11-21 10:33:36,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 10.0 seconds']
2024-11-21 10:33:37,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 10.0 seconds']
2024-11-21 10:33:39,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 10.0 seconds']
2024-11-21 10:33:40,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 10.0 seconds']
2024-11-21 10:33:42,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 10.0 seconds']
2024-11-21 10:33:43,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 10.0 seconds']
2024-11-21 10:33:45,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 10.0 seconds']
2024-11-21 10:33:46,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 10.0 seconds']
2024-11-21 10:33:48,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 10.0 seconds']
2024-11-21 10:33:49,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 10.0 seconds']
2024-11-21 10:33:51,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 10.0 seconds']
2024-11-21 10:33:52,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,1,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:33:54,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:33:55,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:33:57,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:33:59,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:00,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:02,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:03,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:05,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:06,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:08,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:09,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
